distance(km),height(m),distance(km),height(m)
16.769485,113.82848,16.769396,46.704472
16.829641,109.08838,16.82996,43.29874
16.889845,103.363,16.890516,38.959694
16.949841,97.871254,16.95009,33.123913
17.009672,89.366936,17.009548,28.661572
17.06951,83.310448,17.069847,26.066526
17.129656,75.948105,17.130491,26.542027
17.18972,71.117767,17.190264,26.927015
17.249657,64.228455,17.24963,28.24345
17.30974,61.097416,17.309942,29.185654
17.369715,57.501003,17.370359,32.316303
17.429592,55.773678,17.430077,33.770226
17.489588,53.855854,17.488811,36.185101
